teamName;teamCode;season;split;player_name;GP;GS;MIN;PTS;ORB;DR;REB;AST;STL;BLK;TO;PF;AST_TO
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;De'Aaron Fox;59;59;35.3;23.2;0.4;3.5;3.9;5.6;1.2;0.4;2.8;2.9;2.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Domantas Sabonis;15;15;33.6;18.9;3.1;9.3;12.3;5.8;0.9;0.3;3.5;3.8;1.7
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Harrison Barnes;77;77;33.6;16.4;1.1;4.5;5.6;2.4;0.7;0.2;1.5;1.2;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Buddy Hield;55;6;28.6;14.4;0.8;3.2;4.0;1.9;0.9;0.3;1.6;2.1;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Tyrese Haliburton;51;51;34.5;14.3;0.8;3.1;3.9;7.4;1.7;0.7;2.3;1.4;3.3
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Davion Mitchell;75;19;27.7;11.5;0.4;1.8;2.2;4.2;0.7;0.3;1.5;1.9;2.7
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Trey Lyles;24;20;22.8;10.6;1.2;4.4;5.6;1.3;0.3;0.3;0.8;1.3;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Richaun Holmes;45;37;23.9;10.4;2.1;5.0;7.0;1.1;0.4;0.9;1.2;2.8;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Terence Davis;30;11;17.9;10.4;0.4;2.8;3.1;1.3;0.8;0.4;1.1;2.3;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Donte DiVincenzo;25;1;26.6;10.3;0.9;3.5;4.4;3.6;1.5;0.2;1.8;1.7;2.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Marvin Bagley III;30;17;21.9;9.3;2.2;4.9;7.2;0.6;0.3;0.4;0.7;1.7;0.8
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Chimezie Metu;60;20;21.3;8.9;0.6;5.0;5.6;1.0;0.9;0.5;1.0;1.6;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Justin Holiday;25;25;25.6;8.3;0.4;1.8;2.2;1.5;0.8;0.6;0.8;2.0;1.8
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Damian Jones;56;15;18.2;8.1;1.3;3.1;4.4;1.2;0.5;0.8;1.1;2.3;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Jeremy Lamb;17;0;18.9;7.9;0.6;2.9;3.5;1.8;0.5;0.5;0.8;0.9;2.3
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Tristan Thompson;30;3;15.2;6.2;2.4;3.0;5.4;0.6;0.4;0.4;1.0;1.7;0.6
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Alex Len;39;10;15.9;6.0;1.3;2.8;4.1;1.2;0.3;0.6;1.1;2.6;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Maurice Harkless;47;24;18.4;4.6;0.3;2.1;2.4;0.5;0.6;0.5;0.7;1.6;0.7
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Louis King;10;0;10.4;4.5;0.0;1.2;1.2;0.9;0.2;0.1;0.0;1.4;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Josh Jackson;12;0;10.3;4.3;0.3;1.2;1.5;0.4;0.4;0.3;0.8;1.4;0.6
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Jahmi'us Ramsey;19;0;7.1;3.2;0.2;0.5;0.7;0.4;0.1;0.1;0.3;0.5;1.4
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Neemias Queta;15;0;8.0;3.0;0.9;1.1;2.1;0.4;0.1;0.5;0.4;1.2;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Emmanuel Mudiay;2;0;5.5;1.5;0.0;0.0;0.0;2.0;0.5;0.0;0.5;0.5;4.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Justin Robinson;3;0;5.0;0.7;0.0;0.3;0.3;0.7;0.0;0.0;0.3;0.7;2.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Robert Woodard II;12;0;3.5;0.6;0.4;0.5;0.9;0.3;0.1;0.1;0.1;0.3;3.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Ade Murkey;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;All Splits;Total;82;"";"";110.3;9.6;33.4;42.9;23.7;7.2;4.5;13.5;18.9;1.8
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Domantas Sabonis;7;7;35.9;23.7;2.9;9.3;12.1;5.3;1.0;0.4;3.4;3.6;1.5
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;De'Aaron Fox;32;32;34.4;21.2;0.4;3.5;4.0;5.2;1.2;0.4;3.3;2.9;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Harrison Barnes;39;39;33.8;16.6;1.0;4.6;5.6;2.6;0.7;0.2;1.7;1.3;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Tyrese Haliburton;27;27;35.1;14.7;0.8;3.3;4.1;8.1;2.1;0.8;2.3;1.5;3.5
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Buddy Hield;30;4;28.2;14.6;0.7;2.8;3.4;1.8;0.7;0.3;1.6;1.9;1.1
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Terence Davis;16;6;19.1;11.6;0.4;2.6;3.0;1.2;0.8;0.5;0.8;2.3;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Davion Mitchell;36;8;28.0;11.2;0.6;1.7;2.3;3.9;0.8;0.3;1.4;1.9;2.8
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Donte DiVincenzo;9;1;27.0;10.1;0.2;2.7;2.9;3.3;1.2;0.1;2.1;1.2;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Marvin Bagley III;16;9;21.1;10.1;2.3;5.4;7.7;0.5;0.3;0.2;0.5;1.8;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Jeremy Lamb;5;0;20.4;10.0;0.0;4.0;4.0;3.0;0.2;1.0;1.0;0.6;3.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Trey Lyles;9;8;24.4;9.7;1.2;5.2;6.4;1.2;0.4;0.4;0.6;1.8;2.2
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Richaun Holmes;24;21;22.3;9.6;1.8;4.5;6.3;1.0;0.3;1.1;1.2;3.0;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Chimezie Metu;31;12;22.1;9.4;0.5;5.3;5.8;1.0;1.1;0.6;1.0;1.7;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Justin Holiday;9;9;27.8;8.6;0.2;1.7;1.9;2.2;0.9;0.7;1.1;1.9;2.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Damian Jones;29;5;17.4;8.1;1.5;3.2;4.7;0.9;0.3;0.6;0.9;2.2;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Tristan Thompson;16;2;13.9;5.5;2.1;2.6;4.7;0.4;0.4;0.3;0.8;1.6;0.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Alex Len;20;4;15.5;5.1;1.0;2.8;3.8;1.4;0.3;0.8;1.2;2.6;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Maurice Harkless;24;11;18.5;4.6;0.3;2.1;2.4;0.6;0.5;0.5;0.7;1.8;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Neemias Queta;5;0;9.6;3.6;1.4;2.0;3.4;0.4;0.2;0.2;0.4;1.6;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Louis King;4;0;9.8;3.5;0.0;0.8;0.8;1.0;0.0;0.3;0.0;1.8;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Josh Jackson;6;0;7.5;2.8;0.2;1.0;1.2;0.2;0.3;0.3;0.5;1.0;0.3
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Jahmi'us Ramsey;10;0;6.5;2.8;0.2;0.6;0.8;0.5;0.1;0.0;0.3;0.4;1.7
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Emmanuel Mudiay;2;0;5.5;1.5;0.0;0.0;0.0;2.0;0.5;0.0;0.5;0.5;4.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Robert Woodard II;6;0;3.2;1.2;0.2;0.0;0.2;0.0;0.0;0.0;0.2;0.5;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Justin Robinson;2;0;5.0;0.0;0.0;0.5;0.5;0.5;0.0;0.0;0.5;0.5;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Ade Murkey;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Home;Total;41;"";"";110.3;9.0;33.2;42.2;23.8;7.3;4.7;13.8;19.2;1.7
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;De'Aaron Fox;27;27;36.4;25.5;0.4;3.4;3.9;6.0;1.1;0.5;2.4;3.0;2.5
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Harrison Barnes;38;38;33.4;16.2;1.1;4.5;5.6;2.2;0.7;0.1;1.4;1.1;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Domantas Sabonis;8;8;31.6;14.6;3.3;9.3;12.5;6.3;0.8;0.3;3.5;4.0;1.8
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Buddy Hield;25;2;29.2;14.2;0.9;3.8;4.7;2.0;1.1;0.3;1.7;2.2;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Tyrese Haliburton;24;24;33.7;13.7;0.8;3.0;3.7;6.7;1.3;0.5;2.2;1.3;3.1
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Davion Mitchell;39;11;27.4;11.8;0.3;1.9;2.2;4.4;0.7;0.4;1.6;1.8;2.7
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Richaun Holmes;21;16;25.6;11.3;2.4;5.5;8.0;1.1;0.5;0.7;1.3;2.6;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Trey Lyles;15;12;21.8;11.1;1.2;3.9;5.1;1.3;0.2;0.1;0.9;1.1;1.4
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Donte DiVincenzo;16;0;26.3;10.4;1.3;4.0;5.3;3.7;1.6;0.3;1.6;2.0;2.4
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Terence Davis;14;5;16.5;9.0;0.3;3.0;3.3;1.5;0.9;0.2;1.5;2.4;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Chimezie Metu;29;8;20.4;8.4;0.6;4.8;5.3;1.0;0.6;0.4;1.0;1.4;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Marvin Bagley III;14;8;22.7;8.4;2.1;4.4;6.6;0.6;0.3;0.6;0.9;1.5;0.7
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Justin Holiday;16;16;24.4;8.2;0.6;1.8;2.4;1.1;0.8;0.6;0.7;2.0;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Damian Jones;27;10;19.0;8.1;1.1;2.9;4.0;1.6;0.6;1.1;1.2;2.5;1.4
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Jeremy Lamb;12;0;18.4;7.0;0.9;2.4;3.3;1.3;0.6;0.3;0.7;1.0;1.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Alex Len;19;6;16.3;7.0;1.7;2.8;4.5;0.9;0.4;0.5;1.0;2.5;0.9
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Tristan Thompson;14;1;16.6;6.9;2.8;3.4;6.1;0.8;0.4;0.5;1.2;1.9;0.6
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Josh Jackson;6;0;13.0;5.8;0.5;1.3;1.8;0.7;0.5;0.3;1.0;1.8;0.7
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Louis King;6;0;10.8;5.2;0.0;1.5;1.5;0.8;0.3;0.0;0.0;1.2;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Maurice Harkless;23;13;18.3;4.7;0.2;2.1;2.3;0.3;0.7;0.5;0.7;1.5;0.5
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Jahmi'us Ramsey;9;0;7.7;3.6;0.2;0.3;0.6;0.2;0.0;0.1;0.2;0.7;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Neemias Queta;10;0;7.1;2.7;0.7;0.7;1.4;0.4;0.0;0.7;0.4;1.0;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Justin Robinson;1;0;5.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Robert Woodard II;6;0;3.8;0.0;0.7;1.0;1.7;0.5;0.2;0.2;0.0;0.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;Away;Total;41;"";"";110.3;10.1;33.6;43.7;23.6;7.0;4.3;13.3;18.7;1.8
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Domantas Sabonis;1;1;37.0;30.0;6.0;14.0;20.0;5.0;1.0;1.0;4.0;3.0;1.3
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Justin Holiday;1;1;41.0;21.0;0.0;1.0;1.0;3.0;2.0;2.0;2.0;1.0;1.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Trey Lyles;1;1;32.0;19.0;1.0;5.0;6.0;4.0;0.0;1.0;1.0;1.0;4.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Buddy Hield;1;0;24.0;11.0;2.0;3.0;5.0;1.0;1.0;0.0;2.0;2.0;0.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Chimezie Metu;1;0;23.0;10.0;0.0;4.0;4.0;0.0;1.0;1.0;3.0;3.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Richaun Holmes;1;1;24.0;9.0;1.0;8.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Davion Mitchell;2;1;32.5;9.0;0.0;1.0;1.0;2.0;1.0;0.5;3.5;1.5;0.6
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Terence Davis;1;1;10.0;7.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Tyrese Haliburton;1;1;27.0;7.0;3.0;2.0;5.0;7.0;1.0;1.0;2.0;1.0;3.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Marvin Bagley III;1;1;21.0;6.0;0.0;6.0;6.0;0.0;1.0;1.0;1.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Louis King;1;0;12.0;6.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Neemias Queta;1;0;8.0;6.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;2.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Jahmi'us Ramsey;1;0;15.0;6.0;1.0;1.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Damian Jones;2;0;13.5;3.0;1.0;0.5;1.5;0.0;0.5;1.0;0.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Donte DiVincenzo;1;0;30.0;3.0;0.0;2.0;2.0;8.0;0.0;0.0;2.0;1.0;4.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Harrison Barnes;2;2;27.0;2.0;1.5;1.5;3.0;1.5;0.0;0.0;0.0;0.5;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Maurice Harkless;2;0;8.5;1.5;0.5;0.5;1.0;0.0;1.0;0.5;0.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Josh Jackson;1;0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Robert Woodard II;1;0;12.0;0.0;2.0;2.0;4.0;1.0;0.0;1.0;0.0;0.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Boston Celtics;Total;2;"";"";86.0;11.5;29.5;41.0;19.0;6.0;7.0;13.0;14.0;1.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;De'Aaron Fox;1;1;33.0;26.0;1.0;1.0;2.0;3.0;0.0;0.0;2.0;3.0;1.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Buddy Hield;1;0;27.0;18.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Davion Mitchell;2;1;30.5;15.5;0.5;3.0;3.5;1.5;1.0;0.5;2.0;1.0;0.8
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Harrison Barnes;2;2;29.5;12.5;2.5;4.5;7.0;3.0;0.5;0.0;2.5;2.0;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Damian Jones;1;0;27.0;12.0;4.0;4.0;8.0;0.0;0.0;2.0;1.0;3.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Donte DiVincenzo;1;0;27.0;12.0;0.0;8.0;8.0;2.0;5.0;0.0;1.0;1.0;2.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Tyrese Haliburton;1;1;40.0;12.0;0.0;2.0;2.0;11.0;4.0;0.0;0.0;0.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Domantas Sabonis;1;1;26.0;9.0;1.0;8.0;9.0;2.0;1.0;1.0;3.0;3.0;0.7
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Chimezie Metu;2;0;21.5;9.0;2.0;6.0;8.0;1.0;0.5;1.0;1.0;1.0;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Justin Holiday;1;1;32.0;7.0;2.0;0.0;2.0;2.0;0.0;1.0;0.0;2.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Richaun Holmes;2;1;21.5;6.5;2.0;5.5;7.5;0.5;0.5;1.0;2.0;1.5;0.3
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Maurice Harkless;2;2;26.0;5.5;1.5;1.5;3.0;1.0;0.5;1.0;1.5;3.0;0.7
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Louis King;1;0;4.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Trey Lyles;1;0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Josh Jackson;1;0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Brooklyn Nets;Total;2;"";"";98.5;13.0;32.5;45.5;17.5;8.0;5.5;14.5;16.0;1.2
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;De'Aaron Fox;1;1;41.0;24.0;1.0;5.0;6.0;7.0;1.0;0.0;4.0;3.0;1.8
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Tyrese Haliburton;1;1;35.0;21.0;0.0;1.0;1.0;8.0;0.0;0.0;2.0;2.0;4.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Domantas Sabonis;1;1;37.0;19.0;2.0;11.0;13.0;5.0;0.0;0.0;3.0;5.0;1.7
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Harrison Barnes;2;2;35.5;17.0;1.0;3.0;4.0;1.5;0.5;0.0;2.0;1.5;0.8
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Davion Mitchell;2;1;31.5;14.0;0.0;1.5;1.5;4.5;0.0;1.0;0.5;1.5;9.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Donte DiVincenzo;1;0;27.0;13.0;0.0;3.0;3.0;4.0;1.0;0.0;1.0;0.0;4.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Buddy Hield;1;0;28.0;11.0;0.0;5.0;5.0;0.0;1.0;1.0;2.0;2.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Richaun Holmes;1;1;26.0;8.0;1.0;6.0;7.0;0.0;1.0;0.0;0.0;5.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Damian Jones;2;0;18.5;8.0;0.5;4.0;4.5;0.5;1.0;1.0;1.5;2.5;0.3
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Justin Holiday;1;1;28.0;7.0;0.0;2.0;2.0;2.0;0.0;1.0;0.0;1.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Maurice Harkless;1;1;22.0;6.0;1.0;2.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Trey Lyles;1;1;17.0;6.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Chimezie Metu;1;0;25.0;5.0;0.0;4.0;4.0;1.0;1.0;0.0;2.0;2.0;0.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Josh Jackson;1;0;4.0;4.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Jahmi'us Ramsey;1;0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Louis King;1;0;8.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Neemias Queta;1;0;4.0;2.0;4.0;0.0;4.0;1.0;0.0;1.0;1.0;0.0;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Robert Woodard II;1;0;4.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. New York Knicks;Total;2;"";"";105.5;6.5;31.5;38.0;23.5;5.0;3.5;13.5;19.5;1.7
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;De'Aaron Fox;1;1;36.0;23.0;1.0;4.0;5.0;2.0;0.0;0.0;3.0;3.0;0.7
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Tyrese Haliburton;2;2;36.5;19.0;1.5;2.5;4.0;8.0;2.0;0.0;1.5;1.0;5.3
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Richaun Holmes;2;2;29.0;14.0;3.0;5.5;8.5;1.0;0.0;0.0;1.0;3.5;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Harrison Barnes;2;2;37.5;13.0;1.0;5.5;6.5;4.0;0.5;0.0;2.5;2.0;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Buddy Hield;2;0;27.5;11.5;1.5;7.0;8.5;2.5;0.5;0.0;2.5;2.0;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Davion Mitchell;2;1;28.5;9.5;0.0;3.0;3.0;2.5;1.0;0.0;0.5;2.5;5.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Damian Jones;1;0;16.0;9.0;0.0;1.0;1.0;3.0;2.0;1.0;2.0;4.0;1.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Tristan Thompson;1;0;11.0;8.0;3.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Chimezie Metu;1;0;18.0;5.0;0.0;2.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Marvin Bagley III;2;1;16.0;5.0;1.5;5.5;7.0;0.0;0.0;0.5;0.5;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Alex Len;1;0;9.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Maurice Harkless;2;1;19.0;1.0;0.0;0.5;0.5;0.0;1.0;0.0;0.5;2.5;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Neemias Queta;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Philadelphia 76ers;Total;2;"";"";97.5;10.5;35.5;46.0;20.5;6.5;1.0;13.0;20.0;1.6
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Toronto Raptors;De'Aaron Fox;2;2;29.5;23.0;0.5;1.0;1.5;3.0;2.0;0.0;2.0;1.5;1.5
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Toronto Raptors;Alex Len;1;1;22.0;12.0;8.0;0.0;8.0;0.0;0.0;0.0;3.0;3.0;0.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Toronto Raptors;Buddy Hield;2;0;26.0;12.0;1.0;0.0;1.0;2.5;0.5;0.0;1.5;1.5;1.7
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Toronto Raptors;Harrison Barnes;2;2;24.0;8.5;0.0;2.5;2.5;2.5;0.5;0.0;2.5;2.0;1.0
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Toronto Raptors;Marvin Bagley III;2;0;21.5;8.0;2.0;6.5;8.5;0.5;0.0;0.5;0.0;1.5;INF
Sacramento Kings;sac;2021 - 2022 Regular Season;vs. Toronto Raptors;Chimezie Metu;2;2;23.5;7.0;1.0;6.5;7.5;0.5;0.5;1.0;2.0;1.5;0.3
