teamName;teamCode;season;split;player_name;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;PM2;PA2;PCT2;SC_EF;SH_EF
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Devin Booker;9.7;20.9;46.6;2.7;7.0;38.3;4.6;5.3;86.8;7.0;13.9;50.8;1.282;0.53
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Deandre Ayton;7.6;12.0;63.4;0.1;0.3;36.8;1.8;2.4;74.6;7.5;11.7;64.2;1.430;0.64
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Chris Paul;5.6;11.3;49.3;1.0;3.1;31.7;2.6;3.1;83.7;4.6;8.3;55.9;1.302;0.54
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Mikal Bridges;5.6;10.5;53.4;1.4;3.8;36.9;1.6;1.9;83.4;4.2;6.7;62.8;1.354;0.60
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Cameron Johnson;4.2;9.2;46.0;2.5;5.9;42.5;1.5;1.7;86.0;1.7;3.3;52.3;1.354;0.60
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Cameron Payne;4.1;10.1;40.9;1.2;3.6;33.6;1.3;1.5;84.3;2.9;6.5;44.9;1.066;0.47
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Frank Kaminsky;4.0;7.3;54.5;0.6;1.7;33.3;2.0;2.2;90.0;3.4;5.7;60.8;1.439;0.58
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Jae Crowder;3.2;8.1;39.9;1.9;5.4;34.8;1.1;1.3;78.9;1.3;2.7;50.3;1.162;0.52
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;JaVale McGee;3.9;6.2;62.9;0.0;0.1;22.2;1.4;2.0;69.9;3.9;6.1;63.7;1.485;0.63
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Landry Shamet;2.8;7.0;39.4;1.8;4.8;36.8;1.0;1.2;84.0;1.0;2.2;45.0;1.181;0.52
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Torrey Craig;2.7;5.9;45.0;1.1;3.6;32.3;0.4;0.6;70.6;1.5;2.4;64.1;1.169;0.55
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Aaron Holiday;2.3;5.6;41.1;0.7;1.6;44.4;1.4;1.5;93.9;1.6;4.0;39.8;1.202;0.48
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Jalen Smith;2.2;4.7;46.0;0.3;1.3;23.1;1.4;1.8;76.9;1.9;3.4;55.1;1.277;0.49
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Bismack Biyombo;2.4;4.0;59.3;0.0;0.0;0.0;1.1;2.0;53.5;2.4;4.0;59.3;1.448;0.59
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Gabriel Lundberg;1.3;4.8;26.3;0.8;2.0;37.5;0.0;0.0;0.0;0.5;2.8;18.2;0.684;0.34
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Elfrid Payton;1.3;3.5;38.3;0.1;0.4;22.2;0.2;0.6;37.5;1.3;3.1;40.1;0.857;0.39
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Paris Bass;1.0;3.0;33.3;0.0;1.0;0.0;1.0;1.0;100.0;1.0;2.0;50.0;1.000;0.33
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Abdel Nader;0.9;2.5;34.3;0.3;1.0;28.6;0.4;0.7;60.0;0.6;1.5;38.1;0.971;0.40
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Ish Wainright;0.9;2.3;39.4;0.4;1.3;32.2;0.2;0.3;58.3;0.5;1.0;48.9;1.038;0.49
Phoenix Suns;phx;2021 - 2022 Regular Season;All Splits;Justin Jackson;0.8;2.3;35.7;0.5;1.5;33.3;0.0;0.0;0.0;0.3;0.8;40.0;0.929;0.46
